Time;Channel1;Channel2;Ch1 - Ch2
0,0151;4,6088;0,674614;3,934186
0,0152;4,6911;0,682841;4,008259
0,0153;4,6911;0,691068;4,000032
0,0154;4,6911;0,682841;4,008259
0,0155;4,6911;0,674614;4,016486
0,0156;4,7734;0,674614;4,098786
0,0157;4,7734;0,682841;4,090559
0,0158;4,8557;0,682841;4,172859
0,0159;4,938;0,674614;4,263386
0,016;4,8557;0,682841;4,172859
0,0161;4,938;0,682841;4,255159
0,0162;4,938;0,691068;4,246932
0,0163;5,0203;0,682841;4,337459
0,0164;5,0203;0,682841;4,337459
0,0165;5,0203;0,674614;4,345686
0,0166;5,0203;0,682841;4,337459
0,0167;5,1026;0,682841;4,419759
0,0168;5,1849;0,682841;4,502059
0,0169;5,1026;0,682841;4,419759
0,017;5,1849;0,691068;4,493832
0,0171;5,1849;0,682841;4,502059
0,0172;5,2672;0,691068;4,576132
0,0173;5,2672;0,682841;4,584359
0,0174;5,3495;0,691068;4,658432
0,0175;5,3495;0,682841;4,666659
0,0176;5,4318;0,682841;4,748959
0,0177;5,3495;0,682841;4,666659
0,0178;5,4318;0,691068;4,740732
0,0179;5,4318;0,691068;4,740732
0,018;5,5141;0,707522;4,806578
0,0181;5,5141;0,691068;4,823032
0,0182;5,5964;0,691068;4,905332
0,0183;5,5964;0,691068;4,905332
0,0184;5,6787;0,691068;4,987632
0,0185;5,6787;0,691068;4,987632
0,0186;5,6787;0,682841;4,995859
0,0187;5,6787;0,682841;4,995859
0,0188;5,6787;0,691068;4,987632
0,0189;5,761;0,691068;5,069932
0,019;5,8433;0,691068;5,152232
0,0191;5,761;0,691068;5,069932
0,0192;5,8433;0,691068;5,152232
0,0193;5,8433;0,691068;5,152232
0,0194;5,9256;0,699295;5,226305
0,0195;5,9256;0,691068;5,234532
0,0196;5,9256;0,691068;5,234532
0,0197;6,0079;0,691068;5,316832
0,0198;6,0079;0,699295;5,308605
0,0199;6,0079;0,691068;5,316832
0,02;6,0902;0,691068;5,399132
0,0201;6,1725;0,691068;5,481432
0,0202;6,2548;0,699295;5,555505
0,0203;6,1725;0,699295;5,473205
0,0204;6,2548;0,691068;5,563732
0,0205;6,2548;0,691068;5,563732
0,0206;6,3371;0,699295;5,637805
0,0207;6,3371;0,691068;5,646032
0,0208;6,3371;0,699295;5,637805
0,0209;6,3371;0,699295;5,637805
0,021;6,3371;0,691068;5,646032
0,0211;6,4194;0,699295;5,720105
0,0212;6,4194;0,699295;5,720105
0,0213;6,5017;0,699295;5,802405
0,0214;6,584;0,699295;5,884705
0,0215;6,5017;0,699295;5,802405
0,0216;6,584;0,699295;5,884705
0,0217;6,6663;0,699295;5,967005
0,0218;6,6663;0,699295;5,967005
0,0219;6,6663;0,699295;5,967005
0,022;6,6663;0,699295;5,967005
0,0221;6,7486;0,699295;6,049305
0,0222;6,7486;0,699295;6,049305
0,0223;6,7486;0,691068;6,057532
0,0224;6,8309;0,691068;6,139832
0,0225;6,8309;0,699295;6,131605
0,0226;6,8309;0,699295;6,131605
0,0227;6,8309;0,699295;6,131605
0,0228;6,9132;0,699295;6,213905
0,0229;6,9955;0,699295;6,296205
0,023;6,9955;0,699295;6,296205
0,0231;6,9955;0,723976;6,271524
0,0232;7,0778;0,699295;6,378505
0,0233;7,0778;0,707522;6,370278
0,0234;7,0778;0,699295;6,378505
0,0235;7,1601;0,707522;6,452578
0,0236;7,1601;0,707522;6,452578
0,0237;7,2424;0,707522;6,534878
0,0238;7,2424;0,699295;6,543105
0,0239;7,2424;0,707522;6,534878
0,024;7,3247;0,699295;6,625405
0,0241;7,3247;0,691068;6,633632
0,0242;7,3247;0,699295;6,625405
0,0243;7,407;0,699295;6,707705
0,0244;7,407;0,699295;6,707705
0,0245;7,407;0,699295;6,707705
0,0246;7,4893;0,699295;6,790005
0,0247;7,4893;0,707522;6,781778
0,0248;7,5716;0,699295;6,872305
0,0249;7,5716;0,699295;6,872305
