sep=	
Time	Channel1	Channel2
0,0158	4,8557	0,682841
0,0159	4,938	0,682841
0,016	4,8557	0,682841
0,0161	4,938	0,691068
0,0162	5,0203	0,691068
0,016300000000000002	5,0203	0,682841
0,0164	5,1026	0,691068
0,0165	5,0203	0,682841
0,0166	5,0203	0,682841
0,0167	5,1849	0,682841
0,016800000000000002	5,1849	0,682841
0,016900000000000002	5,1849	0,691068
0,017	5,1849	0,682841
0,0171	5,2672	0,682841
0,0172	5,2672	0,682841
0,0173	5,3495	0,682841
0,017400000000000002	5,3495	0,674614
0,0175	5,3495	0,682841
0,0176	5,3495	0,682841
0,0177	5,4318	0,682841
0,0178	5,4318	0,691068
0,0179	5,5141	0,682841
0,018000000000000002	5,5141	0,682841
0,0181	5,5964	0,682841
0,0182	5,5964	0,691068
0,0183	5,6787	0,699295
0,0184	5,5964	0,691068
0,018500000000000003	5,6787	0,691068
0,018600000000000002	5,6787	0,691068
0,0187	5,761	0,682841
0,0188	5,761	0,691068
0,0189	5,761	0,691068
0,019	5,8433	0,682841
0,019100000000000002	5,8433	0,691068
0,019200000000000002	5,8433	0,691068
0,0193	5,9256	0,699295
0,0194	6,0079	0,691068
0,0195	6,0079	0,699295
0,0196	6,0079	0,691068
0,019700000000000002	6,0079	0,691068
0,0198	6,0902	0,682841
0,0199	6,0902	0,691068
0,02	6,172499999999999	0,682841
0,0201	6,172499999999999	0,691068
0,020200000000000003	6,172499999999999	0,691068
0,020300000000000002	6,172499999999999	0,682841
0,0204	6,2547999999999995	0,691068
0,0205	6,2547999999999995	0,691068
0,0206	6,3370999999999995	0,691068
0,0207	6,3370999999999995	0,699295
0,020800000000000003	6,3370999999999995	0,691068
0,020900000000000002	6,3370999999999995	0,699295
0,021	6,4193999999999996	0,699295
0,0211	6,5017	0,699295
0,0212	6,5017	0,691068
0,0213	6,5017	0,699295
0,021400000000000002	6,584	0,699295
0,021500000000000002	6,584	0,699295
0,0216	6,584	0,691068
0,0217	6,6663	0,699295
0,0218	6,6663	0,699295
0,0219	6,6663	0,699295
0,022000000000000002	6,7486	0,707522
0,0221	6,7486	0,699295
0,0222	6,7486	0,699295
0,0223	6,8309	0,699295
0,0224	6,8309	0,699295
0,022500000000000003	6,9132	0,691068
0,022600000000000002	6,9132	0,691068
0,0227	6,9132	0,699295
0,0228	6,9955	0,699295
0,0229	6,9955	0,699295
0,023	7,0778	0,699295
0,023100000000000002	7,0778	0,699295
0,023200000000000002	6,9955	0,699295
0,0233	7,1601	0,699295
0,0234	7,1601	0,699295
0,0235	7,1601	0,699295
0,0236	7,1601	0,699295
0,023700000000000002	7,1601	0,699295
0,0238	7,2424	0,699295
0,0239	7,3247	0,707522
0,024	7,3247	0,699295
0,0241	7,407	0,699295
0,024200000000000003	7,3247	0,707522
0,024300000000000002	7,407	0,699295
0,0244	7,407	0,707522
0,0245	7,4893	0,699295
0,0246	7,5716	0,699295
0,0247	7,5716	0,707522
0,024800000000000003	7,5716	0,699295
0,024900000000000002	7,6539	0,691068
