sep=	
Time	Channel1	Channel2
-0,0015600000000000002	0,854805	0
-0,0015400000000000001	0,854805	0
-0,00152	0,854805	-0,171955
-0,0015	0,854805	-0,171955
-0,0014800000000000002	0,683844	-0,171955
-0,0014600000000000001	0,854805	0
-0,00144	0,683844	-0,171955
-0,00142	0,683844	0
-0,0014000000000000002	0,512883	0
-0,0013800000000000002	0,512883	-0,171955
-0,00136	0,683844	0
-0,00134	0,683844	0
-0,0013200000000000002	0,512883	0
-0,0013000000000000002	0,854805	0
-0,00128	0,512883	-0,171955
-0,00126	0,683844	0
-0,00124	0,512883	-0,171955
-0,0012200000000000002	0,683844	0
-0,0012000000000000001	0,512883	0
-0,00118	0,512883	0
-0,00116	0,512883	0
-0,0011400000000000002	0,512883	-0,171955
-0,0011200000000000001	0,512883	0
-0,0011	0,512883	0
-0,00108	0,512883	0
-0,0010600000000000002	0,341922	-0,171955
-0,0010400000000000001	0,341922	-0,171955
-0,00102	0,512883	-0,171955
-0,001	0,341922	-0,171955
-0,0009800000000000002	0,512883	-0,171955
-0,0009600000000000001	0,341922	0
-0,0009400000000000001	0,341922	-0,171955
-0,00092	0,170961	-0,171955
-0,0009000000000000001	0,512883	0
-0,00088	0,341922	-0,171955
-0,0008600000000000001	0,170961	-0,171955
-0,00084	0,341922	0
-0,0008200000000000001	0,341922	-0,171955
-0,0008	0,512883	-0,171955
-0,0007800000000000001	0,341922	-0,171955
-0,00076	0,512883	0
-0,0007400000000000001	0,341922	0
-0,00072	0,341922	0
-0,0007000000000000001	0,170961	0
-0,00068	0,341922	-0,171955
-0,0006600000000000001	0,512883	0
-0,00064	0,341922	0
-0,00062	0,341922	0
-0,0006000000000000001	0,170961	-0,171955
-0,00058	0,170961	-0,171955
-0,0005600000000000001	0,170961	-0,171955
-0,00054	0,170961	-0,171955
-0,0005200000000000001	0,170961	0
-0,0005	0,170961	-0,171955
-0,00048000000000000007	0,170961	0
-0,00046	0,170961	0
-0,00044	0,170961	0
-0,00042	0,170961	0
-0,0004	0,170961	0
-0,00038	0,170961	0
-0,00036	0,170961	0
-0,00034	0,170961	-0,171955
-0,00032	0,170961	0
-0,00030000000000000003	0,170961	0
-0,00028000000000000003	0,170961	-0,171955
-0,00026000000000000003	0,170961	-0,171955
-0,00024000000000000003	0,170961	-0,171955
-0,00022	0,170961	0
-0,0002	0,170961	-0,171955
-0,00018	0,170961	0
-0,00016	0,170961	0
-0,00014000000000000001	0,170961	0
-0,00012000000000000002	0,170961	0
-0,0001	0,170961	-0,171955
-0,00008	0,170961	-0,171955
-0,00006000000000000001	0,170961	0
-0,00004	0,170961	0
-0,00002	0,170961	0
0	0,170961	-0,171955
0,00002	0,170961	0
0,00004	0,170961	0
0,00006000000000000001	0,170961	0
0,00008	0,170961	-0,171955
0,0001	0,170961	0
0,00012000000000000002	0,170961	-0,171955
0,00014000000000000001	0,170961	-0,171955
0,00016	0,170961	0
0,00018	0,170961	-0,171955
0,0002	0,170961	-0,171955
0,00022	0,170961	0
0,00024000000000000003	0,170961	-0,171955
0,00026000000000000003	0,170961	0
0,00028000000000000003	0,170961	-0,171955
0,00030000000000000003	0,170961	0
0,00032	0,170961	0
0,00034	0,170961	-0,171955
0,00036	0	-0,171955
0,00038	0,170961	-0,171955
0,0004	0	-0,171955
0,00042	0,170961	-0,171955
